乡镇码,修复前km2,修复后km2,变化km2,变化%,参考km2,修复后-参考km2,修复前-参考km2
469005100,327.4478,331.5631,4.1153,1.257,331.7882,-0.2251,-4.3404
469005101,119.2491,120.3617,1.1126,0.933,120.3661,-0.0044,-1.117
469005102,117.4084,118.3221,0.9137,0.778,118.3615,-0.0394,-0.9531
469005103,161.2344,139.0524,-22.182,-13.758,137.8101,1.2423,23.4243
469005104,88.5647,89.5277,0.963,1.087,89.6367,-0.109,-1.072
469005105,138.9802,140.6954,1.7152,1.234,140.8777,-0.1823,-1.8975
469005106,106.0909,107.367,1.2761,1.203,107.423,-0.056,-1.3321
469005107,75.8482,76.7465,0.8983,1.184,76.7771,-0.0306,-0.9289
469005108,90.5775,91.4303,0.8528,0.942,91.6668,-0.2365,-1.0893
469005109,102.5531,103.457,0.9039,0.881,103.4662,-0.0092,-0.9131
469005110,189.4829,190.4583,0.9754,0.515,190.4669,-0.0086,-0.984
469005111,271.4853,273.527,2.0417,0.752,273.6397,-0.1127,-2.1544
469005112,123.0489,124.1057,1.0568,0.859,124.162,-0.0563,-1.1131
469005113,96.5738,97.5034,0.9296,0.963,97.5267,-0.0233,-0.9529
469005114,175.8063,177.5067,1.7004,0.967,177.6311,-0.1244,-1.8248
469005115,139.7074,141.0596,1.3522,0.968,141.4621,-0.4025,-1.7547
469005116,82.3505,83.2109,0.8604,1.045,83.2427,-0.0318,-0.8922
469005402,49.2146,49.8622,0.6476,1.316,49.9287,-0.0665,-0.7141
469005500,1.6497,1.5168,-0.1329,-8.056,1.0407,0.4761,0.609
