CODE,TOWN,CITY,EN,N_FEAT,AREA_KM2,新增
460105001,秀英街道,海口市,Haikou,1,8.039,False
460105002,海秀街道,海口市,Haikou,1,8.751,False
460105100,长流镇,海口市,Haikou,14,43.068,False
460105101,西秀镇,海口市,Haikou,10,36.437,False
460105102,海秀镇,海口市,Haikou,7,18.927,False
460105103,石山镇,海口市,Haikou,12,63.89,False
460105104,永兴镇,海口市,Haikou,8,105.521,False
460105105,东山镇,海口市,Haikou,24,126.749,False
460106001,中山街道,海口市,Haikou,1,1.19,False
460106002,滨海街道,海口市,Haikou,1,3.39,False
460106003,金贸街道,海口市,Haikou,1,8.497,False
460106004,大同街道,海口市,Haikou,1,2.346,False
460106005,海垦街道,海口市,Haikou,1,6.986,False
460106006,金宇街道,海口市,Haikou,1,3.963,False
460106100,城西镇,海口市,Haikou,10,24.027,False
460106101,龙桥镇,海口市,Haikou,8,50.024,False
460106102,新坡镇,海口市,Haikou,13,53.554,False
460106103,遵谭镇,海口市,Haikou,7,58.159,False
460106104,龙泉镇,海口市,Haikou,18,44.283,False
460107001,国兴街道,海口市,Haikou,1,4.423,False
460107100,府城镇,海口市,Haikou,7,41.845,False
460107101,龙塘镇,海口市,Haikou,11,38.981,False
460107102,云龙镇,海口市,Haikou,10,95.934,False
460107103,红旗镇,海口市,Haikou,12,124.206,False
460107104,三门坡镇,海口市,Haikou,13,100.179,False
460107105,大坡镇,海口市,Haikou,6,152.056,False
460107106,甲子镇,海口市,Haikou,17,104.944,False
460107107,旧州镇,海口市,Haikou,10,124.479,False
460108001,海府街道,海口市,Haikou,1,2.018,False
460108002,蓝天街道,海口市,Haikou,1,3.053,False
460108003,博爱街道,海口市,Haikou,1,1.079,False
460108004,海甸街道,海口市,Haikou,1,5.766,False
460108005,人民路街道,海口市,Haikou,1,8.73,False
460108006,白龙街道,海口市,Haikou,1,3.71,False
460108007,和平南街道,海口市,Haikou,1,1.119,False
460108008,白沙街道,海口市,Haikou,1,2.535,False
460108100,新埠街道,海口市,Haikou,1,8.029,False
460108101,灵山镇,海口市,Haikou,23,98.739,False
460108102,演丰镇,海口市,Haikou,15,93.355,False
460108103,三江镇,海口市,Haikou,10,65.387,False
460108104,大致坡镇,海口市,Haikou,11,115.331,False
HK01,新海乡,海口市,Haikou,0,24.756,True
HK02,薛样乡,海口市,Haikou,0,15.165,True
HK03,美安镇,海口市,Haikou,0,58.23,True
HK04,东营镇,海口市,Haikou,0,8.63,True
HK05,桂林洋镇,海口市,Haikou,0,34.747,True
HK06,演海镇,海口市,Haikou,0,50.714,True
HK07,美仁坡乡,海口市,Haikou,0,31.412,True
HK08,新民乡,海口市,Haikou,0,51.352,True
HK09,谭文镇,海口市,Haikou,0,88.078,True
