乡镇码,修复前km2,修复后km2,变化km2,变化%,参考km2,修复后-参考km2,修复前-参考km2
469005100,330.2166,331.7882,1.5716,0.476,331.7882,0.0,-1.5716
469005101,120.0995,120.3661,0.2666,0.222,120.3661,0.0,-0.2666
469005102,118.1182,118.3615,0.2433,0.206,118.3615,0.0,-0.2433
469005103,137.3691,137.8101,0.441,0.321,137.8101,0.0,-0.441
469005104,89.4674,89.6475,0.1801,0.201,89.6367,0.0108,-0.1693
469005105,140.1414,140.8777,0.7363,0.525,140.8777,0.0,-0.7363
469005106,106.8019,107.423,0.6211,0.582,107.423,0.0,-0.6211
469005107,84.9663,76.7771,-8.1892,-9.638,76.7771,0.0,8.1892
469005108,91.5176,91.6668,0.1492,0.163,91.6668,0.0,-0.1492
469005109,103.1453,103.4662,0.3209,0.311,103.4662,0.0,-0.3209
469005110,189.9666,190.4669,0.5003,0.263,190.4669,0.0,-0.5003
469005111,272.8571,273.6397,0.7826,0.287,273.6397,0.0,-0.7826
469005112,123.713,124.1513,0.4383,0.354,124.162,-0.0107,-0.449
469005113,97.0951,97.5267,0.4316,0.445,97.5267,0.0,-0.4316
469005114,176.938,177.6355,0.6975,0.394,177.6311,0.0044,-0.6931
469005115,141.313,141.4728,0.1598,0.113,141.4621,0.0107,-0.1491
469005116,82.7794,83.2427,0.4633,0.56,83.2427,0.0,-0.4633
469005402,49.7279,49.9136,0.1857,0.373,49.9287,-0.0151,-0.2008
469005500,1.0407,1.0407,0.0,0.0,1.0407,0.0,0.0
