乡镇码,修复前km2,修复后km2,变化km2,变化%,参考km2,修复后-参考km2,修复前-参考km2
469005100,330.2194,331.7882,1.5688,0.475,331.7882,0.0,-1.5688
469005101,120.0995,120.3661,0.2666,0.222,120.3661,0.0,-0.2666
469005102,118.1182,118.3615,0.2433,0.206,118.3615,0.0,-0.2433
469005103,137.3691,137.8101,0.441,0.321,137.8101,0.0,-0.441
469005104,89.47,89.6475,0.1775,0.198,89.6367,0.0108,-0.1667
469005105,140.1374,140.8777,0.7403,0.528,140.8777,0.0,-0.7403
469005106,106.8017,107.423,0.6213,0.582,107.423,0.0,-0.6213
469005107,84.9653,76.7771,-8.1882,-9.637,76.7771,0.0,8.1882
469005108,91.5176,91.6668,0.1492,0.163,91.6668,0.0,-0.1492
469005109,103.1453,103.4662,0.3209,0.311,103.4662,0.0,-0.3209
469005110,189.9666,190.4669,0.5003,0.263,190.4669,0.0,-0.5003
469005111,272.8549,273.6397,0.7848,0.288,273.6397,0.0,-0.7848
469005112,123.715,124.1513,0.4363,0.353,124.162,-0.0107,-0.447
469005113,97.0963,97.5267,0.4304,0.443,97.5267,0.0,-0.4304
469005114,176.9362,177.6355,0.6993,0.395,177.6311,0.0044,-0.6949
469005115,141.313,141.4728,0.1598,0.113,141.4621,0.0107,-0.1491
469005116,82.7794,83.2427,0.4633,0.56,83.2427,0.0,-0.4633
469005402,49.7285,49.9136,0.1851,0.372,49.9287,-0.0151,-0.2002
469005500,1.0407,1.0407,0.0,0.0,1.0407,0.0,0.0
