CODE,修复前km2,修复后km2,变化km2,变化%,参考km2,修复后-参考km2,修复前-参考km2
469023001,4.8549,4.9522,0.0973,2.004,141.2939,-136.3417,-136.439
469023002,3.6458,3.6923,0.0465,1.275,247.2339,-243.5416,-243.5881
469023003,339.6485,339.6485,0.0,0.0,339.6485,0.0,0.0
469023004,10.8586,10.9086,0.05,0.46,171.6759,-160.7673,-160.8173
469023005,109.3157,109.3157,0.0,0.0,109.3157,0.0,0.0
469023006,71.8336,71.8336,0.0,0.0,71.8336,0.0,0.0
469023007,98.4975,98.5009,0.0034,0.003,98.5009,0.0,-0.0034
469023008,173.5167,173.5203,0.0036,0.002,253.5617,-80.0414,-80.045
469023009,119.0172,119.0289,0.0117,0.01,119.0289,0.0,-0.0117
469023010,2.9167,2.9494,0.0327,1.121,126.5632,-123.6138,-123.6465
469023051,7.0436,7.0805,0.0369,0.524,373.7823,-366.7018,-366.7387
469023091,0.1575,0.1575,0.0,0.0,0.1575,0.0,0.0
469023101,145.7625,145.7537,-0.0088,-0.006,,,
469023102,80.0493,80.0378,-0.0115,-0.014,,,
469023103,57.2488,57.2455,-0.0033,-0.006,,,
469023104,69.5978,69.5646,-0.0332,-0.048,,,
469023105,32.8439,32.8216,-0.0223,-0.068,,,
469023106,58.3859,58.3796,-0.0063,-0.011,,,
469023107,229.9811,229.9473,-0.0338,-0.015,,,
469023108,150.1036,149.994,-0.1096,-0.073,,,
469023109,71.3981,71.3885,-0.0096,-0.013,,,
469023110,48.4325,48.4234,-0.0091,-0.019,,,
469023111,92.2667,92.258,-0.0087,-0.009,,,
469023112,75.2196,75.1935,-0.0261,-0.035,,,
