CODE,修复前km2,修复后km2,变化km2,变化%,参考km2,修复后-参考km2,修复前-参考km2
469023001,0.6158,0.6173,0.0015,0.244,141.2939,-140.6766,-140.6781
469023002,14.7503,14.7497,-0.0006,-0.004,247.2339,-232.4842,-232.4836
469023003,339.6485,339.6485,0.0,0.0,339.6485,0.0,0.0
469023004,6.5513,6.5508,-0.0005,-0.008,171.6759,-165.1251,-165.1246
469023005,109.3157,109.3157,0.0,0.0,109.3157,0.0,0.0
469023006,71.8336,71.8336,0.0,0.0,71.8336,0.0,0.0
469023007,98.5009,98.5009,0.0,0.0,98.5009,0.0,0.0
469023008,172.603,172.6051,0.0021,0.001,253.5617,-80.9566,-80.9587
469023009,119.0289,119.0289,0.0,0.0,119.0289,0.0,0.0
469023010,0.0087,0.0087,0.0,0.0,126.5632,-126.5545,-126.5545
469023051,53.7195,53.7192,-0.0003,-0.001,373.7823,-320.0631,-320.0628
469023091,0.1575,0.1575,0.0,0.0,0.1575,0.0,0.0
469023101,80.9587,80.9567,-0.002,-0.002,,,
469023102,80.9466,80.9457,-0.0009,-0.001,,,
469023103,58.5153,58.5148,-0.0005,-0.001,,,
469023104,71.194,71.1954,0.0014,0.002,,,
469023105,34.1455,34.1439,-0.0016,-0.005,,,
469023106,59.7851,59.7858,0.0007,0.001,,,
469023107,232.4836,232.4842,0.0006,0.0,,,
469023108,154.1385,154.1354,-0.0031,-0.002,,,
469023109,73.3006,73.3044,0.0038,0.005,,,
469023110,49.7172,49.7169,-0.0003,-0.001,,,
469023111,93.8399,93.8393,-0.0006,-0.001,,,
469023112,76.8373,76.8377,0.0004,0.001,,,
