CODE,修复前km2,修复后km2,变化km2,变化%,参考km2,修复后-参考km2,修复前-参考km2
469023003,339.2604,339.6859,0.4255,0.125,339.6485,0.0374,-0.3881
469023005,108.8769,109.2886,0.4117,0.378,109.3157,-0.0271,-0.4388
469023006,71.6694,71.7315,0.0621,0.087,71.8336,-0.1021,-0.1642
469023007,98.1653,98.6891,0.5238,0.534,98.5009,0.1882,-0.3356
469023008,172.2498,172.6733,0.4235,0.246,253.5617,-80.8884,-81.3119
469023009,124.8612,125.6268,0.7656,0.613,119.0289,6.5979,5.8323
469023101,147.3492,147.3069,-0.0423,-0.029,,,
469023102,81.1328,82.1613,1.0285,1.268,,,
469023103,58.1821,58.3407,0.1586,0.273,,,
469023104,70.9561,71.4789,0.5228,0.737,,,
469023105,33.879,34.0317,0.1527,0.451,,,
469023106,59.6772,59.6854,0.0082,0.014,,,
469023107,232.6232,233.1349,0.5117,0.22,,,
469023108,68.2541,68.5189,0.2648,0.388,,,
469023109,73.0285,73.2539,0.2254,0.309,,,
469023110,49.6752,49.7998,0.1246,0.251,,,
469023111,93.3811,93.7578,0.3767,0.403,,,
469023112,76.6103,76.7658,0.1555,0.203,,,
469023113,86.3193,86.6207,0.3014,0.349,,,
